alipay,支付宝
all,全部
my_cart,我的购物车
sauvignon_blanc,长相思
repeat_password,重复密码
wrong_valcode,验证码错误
order_processing,订单处理
passwords_type_twice_not_match,两次填写的密码不一致
incorrect_district,请选择正确的城市或区
continue_shopping,继续购物
order_cancel,订单取消
confirm_password,再输入一遍密码
my_order,我的订单
shanghai,上海
first_register,还不是会员，先注册
wrong_password,密码错误
has,有
back_to_top,回到上面
chateaus,酒庄列表
try_again,系统正忙，稍后重试
receipt_title,请填写发票抬头
page_not_found,您访问的页面没有找到
currency_unit,￥
total_price,总计金额
incorrect_purchase_count,请填写正确的购买数量
pay_sort,付款方式
miller,美乐
choose_receipt_content,选择发票内容
no_exist_email_or_user_name,"不存在该用户名或邮箱,请先注册"
wine_level,等级
empty_password,请填写密码
home,首页
minhang,闵行
incorrect_pay_sort,请选择正确的支付方式
review,评价
your_email_or_username,填写您的邮箱或用户名
email,邮箱
company_receipt,公司发票
cart,购物车
please_choose,请选择
empty_address_detail,请填写详细地址
address,送货地址
empty_user_name,请填写用户名
incorrect_city,请选择正确的直辖市或省份
product_added_into_cart,该商品已经加入了您的购物车
country,国家
delivery_info,收货信息
products,葡萄酒列表
cod,货到付款
receiver,收货人
chateau,酒庄介绍
scene,适合场景
email_style_not_correct,填写正确的邮箱
return_cart,返回购物车
total,共
area,产区
submit,提交
cabernet_sauvignon ,赤霞珠
user_name,用户名
store,库存
sort,种类
buy,立即购买
incorrect_receipt_sort,请选择正确的发票类型
nopay,未支付
brand,品牌
volume,容量
phone,手机号
selah,西拉
incorrect_phone,请填写正确的手机号
count,数量
incorrect_name,请填写正确的名字
attr,属性
confirm_order,下单结算
grape_sort,葡萄酒品种
product_total_price,商品金额
piece,件
delete,删除
write_receipt,开发票
login_successfully,登录成功
order_finish,订单完成
product_delivery,商品出库
password,密码
macabeo,马卡贝奥
incorrect_receipt_content,请选择正确的发票内容
tip,提示
valcode,验证码
email_is_registered,该邮箱已被注册
empty_receipt_title,请填写发票抬头
register_successfully,注册成功
submit_order,填写订单
product,商品
description,产品描述
price,单价
person_receipt,个人发票
paid,已支付
add_in,加入购物车
mylists,我的订单
submit_order_successfully,订单提交成功
delivery_cost,运费
subtotal,小计
login,登录
purchase_count,购买数量
click_to_refresh,"如看不清,点击图片刷新"
register,注册
bottle,瓶
email_or_username,邮箱或用户名
